Index,0 [0x0][0x0]
225,""
226,""
227,""
228,""
229,""
230,""
231,""
232,""
233,""
234,""
235,""
236,"민첩성이 8 증가합니다."
237,"낙하로 받는 피해량이 감소합니다."
238,"민첩성이 16 증가합니다."
239,""
240,"민첩성이 24 증가합니다."
241,"자신의 이동 속도가 향상됩니다."
242,""
243,""
244,""
245,""
246,""
247,""
248,""
249,""
250,""
251,""
252,""
253,""
254,""
255,""
256,""
257,"HQ가 존재하지 않는 아이템을 채집할 때, 간혹 채집 개수가 증가합니다.<br>발생 조건은 '통찰'로 확인 가능합니다."
258,"광맥과 바위터에 숨겨진 특수한 성질을 간혹 발견할 수 있게 됩니다."
259,"'은신' 효과가 적용되는 마물의 최대 레벨이 54로 상승합니다."
260,"'은신' 효과가 적용되는 마물의 최대 레벨이 57로 상승합니다."
261,"'은신' 효과가 적용되는 마물의 최대 레벨이 60으로 상승합니다."
262,"HQ가 존재하지 않는 아이템을 채집할 때, 간혹 채집 개수가 증가합니다.<br>발생 조건은 '통찰'로 확인 가능합니다."
263,"성목과 약초밭에 숨겨진 특수한 성질을 간혹 발견할 수 있게 됩니다."
264,"'은신' 효과가 적용되는 마물의 최대 레벨이 54로 상승합니다."
265,"'은신' 효과가 적용되는 마물의 최대 레벨이 57로 상승합니다."
266,"'은신' 효과가 적용되는 마물의 최대 레벨이 60으로 상승합니다."
267,"레벨 55 이하의 숨은 명당 낚시터를 찾을 수 있습니다."
268,"레벨 60 이하의 숨은 명당 낚시터를 찾을 수 있습니다."
269,"하늘섬에서 낚시할 수 있게 됩니다."
270,"'은신' 효과가 적용되는 마물의 최대 레벨이 54로 상승합니다."
271,"'은신' 효과가 적용되는 마물의 최대 레벨이 57로 상승합니다."
272,"'은신' 효과가 적용되는 마물의 최대 레벨이 60으로 상승합니다."
273,"용암에서 낚시할 수 있게 됩니다."
274,"마법샘에서 낚시할 수 있게 됩니다."
275,"활력이 8 증가합니다."
276,""
277,"활력이 16 증가합니다."
278,""
279,"활력이 24 증가합니다."
280,""
281,""
282,""
283,""
284,""
285,""
286,"민첩성이 8 증가합니다."
287,""
288,"민첩성이 16 증가합니다."
289,"자동 공격을 제외한 기술 사용으로 주는 피해량이 10% 증가합니다.<br>포탑이 주는 피해량이 10% 증가합니다."
290,"민첩성이 24 증가합니다."
291,""
292,""
293,""
294,"자동 공격을 제외한 기술 사용으로 주는 피해량이 20% 증가합니다.<br>포탑이 주는 피해량이 20% 증가합니다."
295,""
296,""
297,"정신력이 8 증가합니다."
298,"정신력이 16 증가합니다."
299,""
300,"자동 공격을 제외한 기술 사용으로 주는 피해량과 회복량이 10% 증가합니다."
301,"정신력이 24 증가합니다."
302,""
303,"<color #FF7B1A>베네피크</color> 시전 시 15% 확률로 <color #FF7B1A>베네피라 효과 향상</color>이 발동합니다.<br><color?>베네피라 효과 향상</color>: 15초 안에 시전하는 다음 베네피라는 반드시 극대화됩니다."
304,""
305,"자동 공격을 제외한 기술 사용으로 주는 피해량과 회복량이 30% 증가합니다."
306,""
307,""
308,""
309,""
310,""
311,""
312,""
313,""
314,""
315,""
316,""
317,""
318,""
319,""
320,""
321,""
322,""
323,""
324,""
325,""
326,""
327,""
328,""
329,""
330,"'은신' 효과가 적용되는 마물의 최대 레벨이 64으로 상승합니다."
331,"'은신' 효과가 적용되는 마물의 최대 레벨이 67으로 상승합니다."
332,"'은신' 효과가 적용되는 마물의 최대 레벨이 70으로 상승합니다."
333,"'은신' 효과가 적용되는 마물의 최대 레벨이 64으로 상승합니다."
334,"'은신' 효과가 적용되는 마물의 최대 레벨이 67으로 상승합니다."
335,"'은신' 효과가 적용되는 마물의 최대 레벨이 70으로 상승합니다."
336,"'은신' 효과가 적용되는 마물의 최대 레벨이 64으로 상승합니다."
337,"'은신' 효과가 적용되는 마물의 최대 레벨이 67으로 상승합니다."
338,"'은신' 효과가 적용되는 마물의 최대 레벨이 70으로 상승합니다."
339,"염호에서 낚시할 수 있게 됩니다."
340,"레벨 65 이하의 숨은 명당 낚시터를 찾을 수 있습니다."
341,"레벨 70 이하의 숨은 명당 낚시터를 찾을 수 있습니다."
342,"제작 공정 중 '고품질' 상태가 될 가능성이 약간 높아집니다."
343,"제작 공정 중 '고품질' 상태가 될 가능성이 약간 높아집니다."
344,"제작 공정 중 '고품질' 상태가 될 가능성이 약간 높아집니다."
345,"제작 공정 중 '고품질' 상태가 될 가능성이 약간 높아집니다."
346,"제작 공정 중 '고품질' 상태가 될 가능성이 약간 높아집니다."
347,"제작 공정 중 '고품질' 상태가 될 가능성이 약간 높아집니다."
348,"제작 공정 중 '고품질' 상태가 될 가능성이 약간 높아집니다."
349,"제작 공정 중 '고품질' 상태가 될 가능성이 약간 높아집니다."
350,"제작 중 2번째 공정에서 일정 확률로 최대 CP가 증가합니다.<br>전문 장인일 경우 100% 확률로 발동합니다."
351,"제작 중 2번째 공정에서 일정 확률로 최대 CP가 증가합니다.<br>전문 장인일 경우 100% 확률로 발동합니다."
352,"제작 중 2번째 공정에서 일정 확률로 최대 CP가 증가합니다.<br>전문 장인일 경우 100% 확률로 발동합니다."
353,"제작 중 2번째 공정에서 일정 확률로 최대 CP가 증가합니다.<br>전문 장인일 경우 100% 확률로 발동합니다."
354,"제작 중 2번째 공정에서 일정 확률로 최대 CP가 증가합니다.<br>전문 장인일 경우 100% 확률로 발동합니다."
355,"제작 중 2번째 공정에서 일정 확률로 최대 CP가 증가합니다.<br>전문 장인일 경우 100% 확률로 발동합니다."
356,"제작 중 2번째 공정에서 일정 확률로 최대 CP가 증가합니다.<br>전문 장인일 경우 100% 확률로 발동합니다."
357,"제작 중 2번째 공정에서 일정 확률로 최대 CP가 증가합니다.<br>전문 장인일 경우 100% 확률로 발동합니다."
358,"어부로 클래스 체인지했을 때, 자동으로 어부의 눈 효과를 받습니다."
359,"어장에서 특수한 성질을 발견할 수 있게 됩니다."
360,"감싸기 효과 중에 자신이 대신 받는 피해량이 20% 감소합니다."
361,"원초의 혼, 강철 회오리, 참수, 섬멸이 명중하면 전장의 함성의 재사용 대기 시간이 5초 단축됩니다.<br>일부 적 대상으로는 효과가 발휘되지 않습니다."
362,"<color #FF7B1A>흑혈</color>이 활성화됩니다.<br>특정 기술이 명중하면 흑혈이 증가합니다."
363,"<color #FF7B1A>피의 칼날</color> 효과 중에 물리 공격이 명중하면 흑혈이 증가합니다.<br><color #FF7B1A>피의 대가</color> 효과 중에 흑혈이 지속적으로 증가합니다."
364,"자신의 무기 기술이 극대화되면 50%의 확률로 투기가 부여됩니다."
365,"나찰충격권의 효과가 태세에 따라 변화합니다.<br><color?>금강 태세</color>: 밀쳐내기 효과가 추가되며 사정거리가 짧아집니다.<br><color?>질풍 태세</color>: 2회 사용할 수 있으나 위력이 감소합니다.<br><color?>홍련 태세</color>: 위력이 증가합니다."
366,"<color #FF7B1A>용의 발톱</color> 명중 시 <color #FF7B1A>용의 꼬리</color>를 이어서 사용할 수 있으며, <color #FF7B1A>용의 꼬리</color> 명중 시 <color #FF7B1A>용의 발톱</color>을 이어서 사용할 수 있습니다. 이때 위력이 100 증가합니다."
367,"<color #FF7B1A>용의 눈</color>이 활성화됩니다.<br><color #FF7B1A>푸른 용혈</color>이 지속되는 동안 <color #FF7B1A>환영 강타</color>를 사용하면 용의 눈이 1단계 진화합니다.<br>용의 눈 4단계에서 게이르스코굴을 사용하면 푸른 용혈이 <color #FF7B1A>붉은 용혈</color>로 변화합니다.<br>붉은 용혈이 지속되는 동안은 게이르스코굴이 <color #FF7B1A>나스트론드</color>로 변화합니다.<br>지속시간이 끝나면 붉은 용혈은 푸른 용혈로 되돌아갑니다."
368,"자동 공격을 제외한 기술 사용으로 주는 물리 피해량이 5% 증가합니다."
369,"<color #FF7B1A>인법</color>이 활성화됩니다.<br>인법은 자동 공격이 명중할 때마다  6 증가합니다."
370,"화둔술, 뇌둔술, 빙둔술을 사용하면 축지법의 재사용 대기 시간이 초기화됩니다.<br>일부 적 대상으로는 효과가 발휘되지 않습니다."
371,"약탈이 명중하면 <color #FF7B1A>인법</color>이 30 증가합니다."
372,"독화살, 바람 화살이 맹독 화살, 폭풍 화살로 변화합니다."
373,"현자의 담시곡, 군신의 찬가, 여행신의 무곡이 지속되는 동안 천상의 화살을 명중시키면 노래에 따른 시상이 발생합니다."
374,"분열탄, 슬러그탄, 정밀탄이 열분열탄, 열슬러그탄, 열정밀탄으로 변화합니다.<br><color?>발동 조건</color>: <color #FF7B1A>열기 50 이상</color>"
375,"<color #FF7B1A>선더</color>가 <color #FF7B1A>선더가</color>로 변화합니다."
376,"<color #FF7B1A>선더라</color>가 <color #FF7B1A>선더쟈</color>로 변화합니다."
377,"플레어 시전 시 <color #FF7B1A>얼어붙은 마음</color>을 모두 소비하며, 소비 MP가 3분의 2로 줄어듭니다.<br><color?>발동 조건</color>: <color #FF7B1A>얼어붙은 마음</color> 1개 이상"
378,"<color #FF7B1A>천사의 언어</color>를 30초 이상 유지하면 <color #FF7B1A>언어 통달</color>이 부여됩니다."
379,"바이오가 바이오라로 변화합니다."
380,"소환수가 기술을 시전하면 15% 확률로 <color #FF7B1A>루인 강화</color>가 발동합니다.<br><color?>루인 강화</color>: 루인 및 루인가가 <color #FF7B1A>루인쟈</color>로 변화합니다."
381,"바이오라, 미아즈라가 바이오가, 미아즈가로 변화합니다."
382,"<color #FF7B1A>바하무트 빙의</color>가 종료되면 <color #FF7B1A>빙의 게이지</color>가 심화됩니다."
383,"스톤이 스톤라로 변화합니다."
384,"에어로가 에어로라로 변화합니다."
385,"스톤라가 스톤가로 변화합니다."
386,"스톤가가 스톤쟈로 변화합니다."
387,"<color #FF7B1A>케알</color> 또는 <color #FF7B1A>케알라</color>가 극대화되면 20% 확률로 <color #FF7B1A>성소</color>와 <color #FF7B1A>심판</color>의 재사용 대기 시간이 5초 단축됩니다."
388,"기염법이 마염법으로 변화합니다."
389,"에테르 순환을 소비할 때마다 에테르 순환의 남은 재사용 대기 시간이 5초씩 단축됩니다."
390,"컴버스가 컴버라로 변화합니다."
391,"말레피크가 말레피라로 변화합니다."
392,"말레피라가 말레피가로 변화합니다."
393,"<color #FF7B1A>본질적 위계</color> 사용 시 <color #FF7B1A>광속 시전</color>의 재사용 대기 시간이 10초 단축됩니다."
394,"60레벨 이하의 채집 지점에서 채집을 시작하면, 모든 도달 게이지가 즉시 0이 됩니다."
395,"60레벨 이하의 채집 지점에서 채집을 시작하면, 모든 도달 게이지가 즉시 0이 됩니다."
396,"GP의 자연 회복량이 증가합니다."
397,"GP의 자연 회복량이 증가합니다."
398,"GP의 자연 회복량이 증가합니다."
399,"졸트가 졸트라로 변화합니다."
400,"전투 중에 <color #FF7B1A>케알</color>/<color #FF7B1A>케알라</color>로 자신 또는 파티원을 유효 치유하면 치유의 백합이 발생합니다.<br><color #FF7B1A>성소</color>, <color #FF7B1A>심판</color>, <color #FF7B1A>신의 이름</color>, <color #FF7B1A>신성한 축복</color> 사용 시 치유의 백합이 모두 소비되며, 소비한 백합 수에 따라 해당 기술의 재사용 대기 시간이 단축됩니다.<br><color?>치유의 백합 1개</color>: 재사용 대기 시간 4% 단축<br><color?>치유의 백합 2개</color>: 재사용 대기 시간 10% 단축<br><color?>치유의 백합 3개</color>: 재사용 대기 시간 20% 단축"
401,"지능이 8 증가합니다."
402,"지능이 16 증가합니다."
403,"지능이 24 증가합니다."
404,"자동 공격을 제외한 기술 사용으로 주는 피해량과 회복량이 10% 증가합니다."
405,"자동 공격을 제외한 기술 사용으로 주는 피해량과 회복량이 30% 증가합니다."
406,"힘이 8 증가합니다."
407,"힘이 16 증가합니다."
408,"힘이 24 증가합니다."
409,"자동 공격을 제외한 기술 사용으로 주는 물리 피해량이 20% 증가합니다."
410,"졸트라 명중 시 <color #FF7B1A>임팩트</color>를 시전할 수 있게 됩니다."
411,"마법의 소비 MP가 50% 감소하고, 공격받아도 시전이 중단되지 않습니다."
412,"거합술을 제외한 무기 기술 명중 시의 검기 증가량이 늘어납니다."
413,"<color #FF7B1A>충의</color>가 활성화됩니다.<br><color #FF7B1A>충의의 방패</color> 상태에서 방패 막기가 발동하거나, <color #FF7B1A>충의의 검</color> 상태에서 자동 공격이 명중하면 충의가 5 증가합니다."
414,"정신력이 8 증가합니다."
415,"정신력이 16 증가합니다."
416,"정신력이 24 증가합니다."
417,"<color #FF7B1A>루인 강화</color> 발동 시 <color #FF7B1A>점화</color>의 재사용 대기 시간이 10초 단축됩니다."
418,"루인이 기염법으로 변화합니다."
419,"<color #FF7B1A>검기</color>가 활성화됩니다.<br>특정 무기 기술이 명중하면 검기가 증가합니다."
420,"시전 시간이 있는 마법을 사용하면 다음 1회의 마법은 시전 시간 없이 사용할 수 있습니다.<br>지속시간 중에 자동 공격과 능력 이외의 기술을 사용하면 연속 마법 효과가 사라집니다."
421,""
422,""
423,""
424,""
425,""
426,""
427,""
428,""
429,""
430,""
